repo_name_with_owner,sdg_topic,ovio_topic
openfarmcc/OpenFarm,"[9, 'Industry, Innovation and Infrastructure']",
sleepbusorg/sleepbus.org,"[1, 'No Poverty']",['Humanitarian']
openfoodfacts/openfoodfacts-androidapp,"[12, 'Responsible Consumption and Production']",['Environment & Nature']
tmrowco/electricitymap-contrib,"[7, 'Affordable and Clean Energy']",['Environment & Nature']
WorldBank-Transport/DRIVER,"[16, 'Peace, Justice and Strong Institutions']",['Civic Tech']
mysociety/pombola,"[16, 'Peace, Justice and Strong Institutions']",['Civic Tech']
orcasound/orcanode,"[14, 'Life Below Water']",['Environment & Nature']
onaio/onadata,"[4, 'Quality Education']",
opendatateam/udata,"[17, 'Partnerships for the Goals']",['Civic Tech']
drivendataorg/zamba,"[17, 'Partnerships for the Goals']",['Humanitarian']
wri/global-power-plant-database,"[13, 'Climate Action']",['Environment & Nature']
developmentseed/geolambda,"[17, 'Partnerships for the Goals']","['Civic Tech', 'Humanitarian']"
EskaleraInc/catalyst-bias-correct,"[5, 'Gender Equality']",['Society & Culture']
nordic-institute/X-Road,"[17, 'Partnerships for the Goals']",
sugarlabs/musicblocks,"[4, 'Quality Education']",['Education']
conative-labs/Platform-API,"[6, 'Clean Water and Sanitation']",
odoo/odoo,"[17, 'Partnerships for the Goals']",
openMF/android-client,"[1, 'No Poverty']",['Humanitarian']
consul/consul,"[16, 'Peace, Justice and Strong Institutions']",['Civic Tech']
Ideasis/VivoosVR,"[3, 'Good Health and Well-Being']",
tidepool-org/uploader,"[3, 'Good Health and Well-Being']",
developmentseed/label-maker,"[17, 'Partnerships for the Goals']","['Civic Tech', 'Humanitarian']"
otsimo/aac,"[3, 'Good Health and Well-Being']",['Health & Well-being']
cboard-org/cboard,"[4, 'Quality Education']",
instedd/planwise,"[17, 'Partnerships for the Goals']",
w3-engineers/telemesh,"[10, 'Reduced Inequalities']",
radiantearth/stac-browser,"[9, 'Industry, Innovation and Infrastructure']",['Humanitarian']
dymaxionlabs/ap-latam,"[11, 'Sustainable Cities and Communities']",
getodk/xlsform-offline,"[17, 'Partnerships for the Goals']",['Humanitarian']
openMF/community-app,"[11, 'Sustainable Cities and Communities']",['Humanitarian']
hotosm/tasking-manager,"[17, 'Partnerships for the Goals']",['Humanitarian']
iHRIS/iHRIS,"[3, 'Good Health and Well-Being']",
developmentseed/landsat-util,"[17, 'Partnerships for the Goals']","['Civic Tech', 'Humanitarian']"
GFDRR/open-risk-data-dashboard,"[13, 'Climate Action']","['Civic Tech', 'Society & Culture', 'Environment & Nature']"
GlobalDigitalLibraryio/book-api,"[4, 'Quality Education']",
Veativetech/VeativeWebVR,"[4, 'Quality Education']",
GFDRR/thinkhazard,"[13, 'Climate Action']","['Civic Tech', 'Society & Culture', 'Environment & Nature']"
MSH/PViMS,"[17, 'Partnerships for the Goals']",
arkhn/fhir-pipe,"[3, 'Good Health and Well-Being']",['Health & Well-being']
